crop_name,soil_type,season,temp_min,temp_max,ph_min,ph_max,rainfall_min,rainfall_max,water_need,duration_days,humidity_min,humidity_max,altitude_min,altitude_max,fertilizer_n,fertilizer_p,fertilizer_k,yield_ton_per_ha,profit_usd_per_ha,difficulty_level,country,location_field
Rice (Aus),Clay,Summer,21,37,5.0,7.3,85,187,High,120,55,88,0,500,120,60,60,3.1,840,Easy,India,Punjab
Rice (Aus),Clay,Summer,21,38,5.2,7.7,98,184,High,130,56,82,0,500,120,60,60,3.29,789,Easy,Nepal,Ilam
Barley,Peaty,Spring,8,24,6.2,7.6,34,54,Low,92,41,61,500,1500,80,40,40,2.97,578,Medium,Nepal,Gulmi
Tea,Silty,Autumn,9,30,4.5,5.5,185,405,High,365,84,96,500,2000,120,60,60,1.89,1773,Medium,India,Himachal Pradesh
Apple (Mustang),Silty,Autumn,7,26,5.6,6.9,67,105,Medium,219,61,83,2000,3500,50,30,70,8.81,3669,Hard,Nepal,Sunsari
Green Gram,Black,Autumn,24,34,5.8,7.5,24,61,Low,82,47,71,200,800,40,20,25,0.88,361,Easy,India,Haryana
Pomegranate,Loamy,Winter,16,36,5.3,7.6,47,138,Low,186,44,67,500,1500,120,60,100,12.56,2988,Medium,Asia,Bangladesh
Buckwheat (Phapar),Clay,Autumn,8,25,5.3,7.3,51,94,Low,69,46,67,2000,4000,20,20,20,1.17,420,Easy,Nepal,Kailali
Barley,Alluvial,Spring,12,26,5.9,7.5,48,43,Low,107,39,64,500,1500,80,40,40,2.61,543,Medium,Nepal,Kailali
Almond,Sandy,Summer,4,32,5.9,7.8,28,70,Low,180,41,69,500,2000,80,40,80,3.52,3458,Hard,Asia,Indonesia
Onion,Peaty,Spring,12,27,5.8,7.5,50,106,Medium,103,60,85,200,800,100,50,80,17.89,1904,Medium,Nepal,Dhankuta
Almond,Laterite,Autumn,5,31,6.1,8.2,47,64,Low,179,45,65,500,2000,80,40,80,3.25,3486,Hard,Nepal,Bara
Peach,Clay,Autumn,17,32,6.2,6.8,73,157,Medium,124,52,75,500,2000,100,50,100,13.01,2788,Hard,Asia,Bangladesh
Rice (Jhum),Alluvial,Monsoon,20,33,5.8,7.1,132,211,Medium,120,68,87,500,1500,80,40,40,2.93,706,Hard,Nepal,Kaski
Plum,Black,Summer,9,27,6.0,7.1,76,157,Medium,110,58,72,1000,2500,90,45,90,8.94,2936,Hard,India,Maharashtra
Green Beans,Silty,Autumn,16,31,6.0,7.7,62,100,Medium,80,58,88,200,1000,70,35,50,10.45,1477,Medium,Nepal,Gulmi
Mustard Greens,Silty,Spring,12,25,6.0,7.6,39,70,Medium,67,59,71,200,800,80,40,60,8.65,905,Easy,Nepal,Ilam
Green Beans,Sandy,Spring,17,28,5.7,7.8,30,89,Medium,71,56,83,200,1000,70,35,50,10.38,1520,Medium,Nepal,Sindhupalchok
Maize (Irrigated),Loamy,Winter,18,33,5.3,7.3,65,103,High,107,59,84,200,1000,120,60,60,4.6,897,Medium,Nepal,Bara
Mustard,Laterite,Autumn,8,23,6.0,7.7,44,118,Low,114,48,69,0,2000,60,40,40,1.02,625,Easy,Nepal,Jhapa
